dec,bin,gray,contiguity,score
38508,1001011001101100,1101110101011010,False,1.0
38509,1001011001101101,1101110101011011,False,1.0
38510,1001011001101110,1101110101011001,False,1.0
38511,1001011001101111,1101110101011000,False,1.0
38512,1001011001110000,1101110101001000,False,1.0
38513,1001011001110001,1101110101001001,False,1.0
38514,1001011001110010,1101110101001011,False,1.0
38515,1001011001110011,1101110101001010,False,1.0
38516,1001011001110100,1101110101001110,False,1.0
38517,1001011001110101,1101110101001111,False,1.0
38518,1001011001110110,1101110101001101,False,1.0
38519,1001011001110111,1101110101001100,False,1.0
38520,1001011001111000,1101110101000100,False,1.0
38521,1001011001111001,1101110101000101,False,1.0
38522,1001011001111010,1101110101000111,False,1.0
38523,1001011001111011,1101110101000110,False,1.0
38524,1001011001111100,1101110101000010,False,1.0
38525,1001011001111101,1101110101000011,False,1.0
38526,1001011001111110,1101110101000001,False,1.0
38527,1001011001111111,1101110101000000,False,1.0
38528,1001011010000000,1101110111000000,False,1.0
38529,1001011010000001,1101110111000001,False,1.0
38530,1001011010000010,1101110111000011,False,1.0
38531,1001011010000011,1101110111000010,False,1.0
38532,1001011010000100,1101110111000110,False,1.0
38533,1001011010000101,1101110111000111,False,1.0
38534,1001011010000110,1101110111000101,False,1.0
38535,1001011010000111,1101110111000100,False,1.0
38536,1001011010001000,1101110111001100,False,1.0
38537,1001011010001001,1101110111001101,False,1.0
38538,1001011010001010,1101110111001111,False,1.0
38539,1001011010001011,1101110111001110,False,1.0
38540,1001011010001100,1101110111001010,False,1.0
38541,1001011010001101,1101110111001011,False,1.0
38542,1001011010001110,1101110111001001,False,1.0
38543,1001011010001111,1101110111001000,False,1.0
38544,1001011010010000,1101110111011000,False,1.0
38545,1001011010010001,1101110111011001,False,1.0
38546,1001011010010010,1101110111011011,False,1.0
38547,1001011010010011,1101110111011010,False,1.0
38548,1001011010010100,1101110111011110,False,1.0
38549,1001011010010101,1101110111011111,False,1.0
38550,1001011010010110,1101110111011101,False,1.0
38551,1001011010010111,1101110111011100,False,1.0
38552,1001011010011000,1101110111010100,False,1.0
38553,1001011010011001,1101110111010101,False,1.0
38554,1001011010011010,1101110111010111,False,1.0
38555,1001011010011011,1101110111010110,False,1.0
38556,1001011010011100,1101110111010010,False,1.0
38557,1001011010011101,1101110111010011,False,1.0
38558,1001011010011110,1101110111010001,False,1.0
38559,1001011010011111,1101110111010000,False,1.0
38560,1001011010100000,1101110111110000,True,0.02986173157302028
